,id,subnumber,headword,context,,ste,nsm,translation,ref,filename,speaker,1,2,3,chaptertitle,sectiontitle,relatedword,relatedphrase,relatedvalue,functiontags,notes
,12,3,,,"can’t say something like this to Helen: “I can do this well, you can’t do this well. Because of this, I don’t want you to do it anymore, I will do it.”","  {""ste"": ""When someone""},{  ""ste"": ""is doing something, someone else""},{  ""ste"": ""can’t say something like this to Helen: “I can do this well, you can’t do this well. Because of this, I don’t want you to do it anymore, I will do it.”""}","{""nsm"": ""many people think like this:""},{""nsm"": ""when someone is doing something, someone else can’t say something like this to this someone:""},{""nsm"": ""“I can do this well, you can’t do this well""},",,,,,,,,,,,,,,
,12,4,,,It is bad if someone says something like this.,"  {""ste"": ""When someone""},{  ""ste"": ""is doing something, someone else""},{  ""ste"": ""can’t say something like this to Helen: “I can do this well, you can’t do this well. Because of this, I don’t want you to do it anymore, I will do it.”""},{  ""ste"": ""It is bad if someone says something like this.""}","{""nsm"": ""many people think like this:""},{""nsm"": ""when someone is doing something, someone else can’t say something like this to this someone:""},{""nsm"": ""“I can do this well, you can’t do this well""},{""nsm"": ""because of this I don’t want you to do it anymore, I want to do it”""},",,,,,,,,,,,,,,
,13,1,"roughly, autonomy and ‘negative freedom’",,If someone,"  {""ste"": ""If someone""}","{""nsm"": ""many people think like this:""},",,{Wierzbicka:2012un p. 128},,,,,attitude_thing,,,,,,,
,13,2,,,"doesn’t want to do something, John doesn’t have to do it.","  {""ste"": ""If someone""},{  ""ste"": ""doesn’t want to do something, John doesn’t have to do it.""}","{""nsm"": ""many people think like this:""},{""nsm"": ""if someone doesn’t want to do something, this someone can not-do it""},",,,,,,,,,,,,,,
,13,3,,,If someone else,"  {""ste"": ""If someone""},{  ""ste"": ""doesn’t want to do something, John doesn’t have to do it.""},{  ""ste"": ""If someone else""}","{""nsm"": ""many people think like this:""},{""nsm"": ""if someone doesn’t want to do something, this someone can not-do it""},{""nsm"": ""if someone else says something like this to this someone:""},",,,,,,,,,,,,,,
,13,4,,,"says to John “I want you to do it, because of this you have to do it.” John can always say to Warren “I don’t want to do it, because of this I will not do it.”","  {""ste"": ""If someone""},{  ""ste"": ""doesn’t want to do something, John doesn’t have to do it.""},{  ""ste"": ""If someone else""},{  ""ste"": ""says to John “I want you to do it, because of this you have to do it.” John can always say to Warren “I don’t want to do it, because of this I will not do it.”""}","{""nsm"": ""many people think like this:""},{""nsm"": ""if someone doesn’t want to do something, this someone can not-do it""},{""nsm"": ""if someone else says something like this to this someone:""},{""nsm"": ""“I want you to do it, because of this you can’t not-do it”""},",,,,,,,,,,,,,,
,13,5,,,This is good.,"  {""ste"": ""If someone""},{  ""ste"": ""doesn’t want to do something, John doesn’t have to do it.""},{  ""ste"": ""If someone else""},{  ""ste"": ""says to John “I want you to do it, because of this you have to do it.” John can always say to Warren “I don’t want to do it, because of this I will not do it.”""},{  ""ste"": ""This is good.""}","{""nsm"": ""many people think like this:""},{""nsm"": ""if someone doesn’t want to do something, this someone can not-do it""},{""nsm"": ""if someone else says something like this to this someone:""},{""nsm"": ""“I want you to do it, because of this you can’t not-do it”""},{""nsm"": ""this someone can always say something like this to someone:""},",,,,,,,,,,,,,,
,13,6,,,,"  {""ste"": ""If someone""},{  ""ste"": ""doesn’t want to do something, John doesn’t have to do it.""},{  ""ste"": ""If someone else""},{  ""ste"": ""says to John “I want you to do it, because of this you have to do it.” John can always say to Warren “I don’t want to do it, because of this I will not do it.”""},{  ""ste"": ""This is good.""},{  ""ste"": """"}","{""nsm"": ""many people think like this:""},{""nsm"": ""if someone doesn’t want to do something, this someone can not-do it""},{""nsm"": ""if someone else says something like this to this someone:""},{""nsm"": ""“I want you to do it, because of this you can’t not-do it”""},{""nsm"": ""this someone can always say something like this to someone:""},{""nsm"": ""“I don’t want to do it, because of this I can not-do it”""},",,,,,,,,,,,,,,
,13,7,,,,"  {""ste"": ""If someone""},{  ""ste"": ""doesn’t want to do something, John doesn’t have to do it.""},{  ""ste"": ""If someone else""},{  ""ste"": ""says to John “I want you to do it, because of this you have to do it.” John can always say to Warren “I don’t want to do it, because of this I will not do it.”""},{  ""ste"": ""This is good.""},{  ""ste"": """"},{  ""ste"": """"}","{""nsm"": ""many people think like this:""},{""nsm"": ""if someone doesn’t want to do something, this someone can not-do it""},{""nsm"": ""if someone else says something like this to this someone:""},{""nsm"": ""“I want you to do it, because of this you can’t not-do it”""},{""nsm"": ""this someone can always say something like this to someone:""},{""nsm"": ""“I don’t want to do it, because of this I can not-do it”""},{""nsm"": ""this is good""},",,,,,,,,,,,,,,
,14,1,favouring ‘non-interference’,,When someone,"  {""ste"": ""When someone""}","{""nsm"": ""many people think like this:""},",,{Wierzbicka:2012un p. 132},,,,,value,,,,,,,
,14,2,,,"is doing something, someone else","  {""ste"": ""When someone""},{  ""ste"": ""is doing something, someone else""}","{""nsm"": ""many people think like this:""},{""nsm"": ""when someone is doing something, someone else can’t say something like this to this someone:""},",,,,,,,,,,,,,,
